,Geo Point,Geo Shape,gares_id,nom_long,nom,nom_sous,nom_sur,id_ref_lda,nom_lda,id_ref_zdl,nom_zdl,num_mod,mode,fer,train,rer,metro,tramway,navette,val,terfer,tertrain,terrer,termetro,tertram,ternavette,terval,idrefliga,idrefligc,ligne,indice_lig,res_com,exploitant,idf,principal,x,y,picto ligne,nom_iv,lat,lon
1,"48.97066504740207,2.077731764565598","{""coordinates"": [2.077731764565598, 48.97066504740207], ""type"": ""Point""}",7.0,Achères-Ville,Achères-Ville,,,73604.0,Achères Ville,46647.0,Achères Ville,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,632479.4114999995,6874918.732500002,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Achères-Ville,48.97066504740207,2.077731764565598
12,"49.04964700433599,2.0342944618526624","{""coordinates"": [2.034294461852662, 49.04964700433599], ""type"": ""Point""}",132.0,Cergy-Saint-Christophe,Cergy-Saint-Christophe,,,66858.0,Cergy Saint-Christophe,47897.0,Cergy Saint-Christophe,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,629406.8796000034,6883739.7414,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Cergy-Saint-Christophe,49.04964700433599,2.0342944618526624
30,"48.84271995343402,2.138125058777295","{""coordinates"": [2.138125058777295, 48.84271995343402], ""type"": ""Point""}",391.0,La Celle-Saint-Cloud,La Celle-Saint-Cloud,,,64251.0,La Celle-Saint-Cloud,47880.0,La Celle-Saint-Cloud,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,636745.4199000001,6860642.121599998,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,La Celle-Saint-Cloud,48.84271995343402,2.138125058777295
84,"49.047876202448634,2.0109997600036325","{""coordinates"": [2.010999760003632, 49.047876202448634], ""type"": ""Point""}",939.0,Cergy Le Haut,Cergy Le Haut,,,66834.0,Cergy le Haut,43104.0,Cergy le Haut,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN L,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,627701.6572000012,6883563.894099999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Cergy Le Haut,49.047876202448634,2.0109997600036325
85,"48.812571716256755,2.1882598600002936","{""coordinates"": [2.188259860000294, 48.812571716256755], ""type"": ""Point""}",175.0,Chaville Rive Droite,Chaville Rive Droite,,,69503.0,Chaville Rive Droite,43241.0,Chaville Rive Droite,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,640390.3104000017,6857251.058499999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Chaville Rive Droite,48.812571716256755,2.1882598600002936
95,"48.809482262996184,2.135087456598118","{""coordinates"": [2.135087456598118, 48.809482262996184], ""type"": ""Point""}",884.0,Versailles Rive Droite,Versailles Rive Droite,,,64021.0,Versailles Rive Droite,44602.0,Versailles Rive Droite,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,TRAIN L,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,636482.0129999965,6856949.016399998,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Versailles Rive Droite,48.809482262996184,2.135087456598118
107,"48.90131105511992,2.2133023145966604","{""coordinates"": [2.21330231459666, 48.90131105511992], ""type"": ""Point""}",579.0,Nanterre-Université,Nanterre-Université,,,70956.0,Nanterre Université,43170.0,Nanterre Université,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,1.0,642327.5337999985,6867099.331599999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Nanterre-Université,48.90131105511992,2.2133023145966604
202,"48.90581841067498,2.283021086099524","{""coordinates"": [2.283021086099524, 48.90581841067498], ""type"": ""Point""}",1014.0,Asnières-sur-Seine,Asnières-sur-Seine,,,72132.0,Asnières-sur-Seine,43069.0,Asnières-sur-Seine,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,647442.9904000014,6867551.863000002,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Asnières-sur-Seine,48.90581841067498,2.283021086099524
255,"48.83828254508147,2.187110711095019","{""coordinates"": [2.187110711095019, 48.83828254508147], ""type"": ""Point""}",304.0,Garches-Marnes-la-Coquette,Garches-Marnes-la-Coquette,,,70713.0,Garches - Marnes-la-Coquette,47770.0,Garches - Marnes-la-Coquette,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,640335.3563999981,6860110.611299999,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Garches-Marnes-la-Coquette,48.83828254508147,2.187110711095019
268,"48.913636862135725,2.257326023785208","{""coordinates"": [2.257326023785208, 48.913636862135725], ""type"": ""Point""}",455.0,Les Vallées,Les Vallées,,,72177.0,Les Vallées,47969.0,Les Vallées,0.0,TRAIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,A02176,C01740,TRAIN L,L,TRAIN L,SNCF,1.0,0.0,645567.685999997,6868438.6483,https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/954a47388dc356e3473289e5f47d0270,Les Vallées,48.913636862135725,2.257326023785208
